_id,loan_id,customer_id,feedback_text,sentiment_score,language,timestamp,feedback_category,escalation_flag,escalation_reason,feedback_length
67aaf02afd431fecde4a1cfb,1,525,The interest rates are competitive compared to other banks.,-0.93,es,2024-06-28T21:57:39,Interest Rates,True,None,59.0
67aaf02afd431fecde4a1cfc,2,494,The interest rates are too high for my liking.,-0.88,en,2023-03-09T11:19:31,Interest Rates,True,Miscommunication,46.0
67aaf02afd431fecde4a1cfd,3,934,The interest rates are competitive compared to other banks.,-0.97,en,2022-09-18T03:23:16,Interest Rates,False,Unresponsive Service,59.0
67aaf02afd431fecde4a1cfe,4,352,The interest rates are too high for my liking.,-0.89,fr,2022-12-06T17:20:59,Interest Rates,False,High Interest,46.0
67aaf02afd431fecde4a1cff,5,650,The interest rates are competitive compared to other banks.,-0.74,fr,2023-06-18T13:21:17,Interest Rates,True,None,59.0
67aaf02afd431fecde4a1d00,6,274,Customer service was helpful and responsive.,-0.53,fr,2024-10-27T21:27:55,Customer Service,False,Delayed Approval,44.0
67aaf02afd431fecde4a1d01,7,714,Customer service did not address my concerns effectively.,-0.86,es,2024-07-22T11:51:02,Customer Service,True,Delayed Approval,57.0
67aaf02afd431fecde4a1d02,8,939,"There were delays in the approval process, causing inconvenience.",-0.93,es,2020-10-15T18:57:46,Approval Process,True,None,65.0
67aaf02afd431fecde4a1d03,9,955,I expected lower interest rates for long-term loans.,-0.52,de,2020-05-02T22:50:11,Interest Rates,False,High Interest,52.0
67aaf02afd431fecde4a1d04,10,535,The repayment terms are flexible and manageable.,-0.79,es,2023-02-18T21:59:43,Repayment Terms,True,Unresponsive Service,48.0
67aaf02afd431fecde4a1d05,11,345,I had to submit multiple documents for approval. Could be improved.,-0.67,en,2020-03-15T09:16:01,Approval Process,False,High Interest,67.0
67aaf02afd431fecde4a1d06,12,497,None,nan,None,None,None,None,None,nan
67aaf02afd431fecde4a1d07,13,29,Customer service was helpful and responsive.,-0.57,fr,2019-12-04T02:21:28,Customer Service,True,Miscommunication,44.0
67aaf02afd431fecde4a1d08,14,662,None,nan,None,None,None,None,None,nan
67aaf02afd431fecde4a1d09,15,183,The repayment terms are flexible and manageable.,-0.66,de,2024-01-17T17:11:10,Repayment Terms,False,High Interest,48.0
67aaf02afd431fecde4a1d0a,16,958,I faced delays when reaching out to customer service.,-0.57,de,2022-03-25T11:52:12,Customer Service,False,High Interest,53.0
67aaf02afd431fecde4a1d0b,17,280,I had to submit multiple documents for approval. Could be improved.,-0.69,de,2023-02-20T17:06:49,Approval Process,False,Miscommunication,67.0
67aaf02afd431fecde4a1d0c,18,602,None,nan,None,None,None,None,None,nan
67aaf02afd431fecde4a1d0d,19,461,I had to submit multiple documents for approval. Could be improved.,-0.52,fr,2021-03-05T19:39:25,Approval Process,True,Delayed Approval,67.0
67aaf02afd431fecde4a1d0e,20,253,Customer service did not address my concerns effectively.,-0.88,es,2021-11-24T10:25:36,Customer Service,True,Delayed Approval,57.0
67aaf02afd431fecde4a1d0f,21,701,I faced delays when reaching out to customer service.,-0.86,fr,2021-03-21T06:13:03,Customer Service,False,Miscommunication,53.0
67aaf02afd431fecde4a1d10,22,749,"There were delays in the approval process, causing inconvenience.",-0.91,fr,2024-05-27T09:21:58,Approval Process,True,Unresponsive Service,65.0
67aaf02afd431fecde4a1d11,23,663,The approval process was quick and hassle-free.,-0.98,fr,2023-10-02T07:39:44,Approval Process,True,High Interest,47.0
67aaf02afd431fecde4a1d12,24,934,The interest rates are too high for my liking.,-0.72,fr,2022-05-22T02:57:05,Interest Rates,False,Miscommunication,46.0
67aaf02afd431fecde4a1d13,25,830,The approval process was quick and hassle-free.,-0.6,fr,2022-06-30T17:06:55,Approval Process,False,None,47.0
67aaf02afd431fecde4a1d14,26,432,I had to submit multiple documents for approval. Could be improved.,-0.63,fr,2024-11-13T06:21:58,Approval Process,False,None,67.0
67aaf02afd431fecde4a1d15,27,135,"There were delays in the approval process, causing inconvenience.",-0.77,de,2020-05-09T01:07:51,Approval Process,False,Unresponsive Service,65.0
67aaf02afd431fecde4a1d16,28,140,I had to submit multiple documents for approval. Could be improved.,-0.62,es,2023-10-15T16:19:21,Approval Process,False,Delayed Approval,67.0
67aaf02afd431fecde4a1d17,29,920,None,nan,None,None,None,None,None,nan
67aaf02afd431fecde4a1d18,30,329,Customer service did not address my concerns effectively.,-0.83,es,2023-09-03T08:52:15,Customer Service,False,Miscommunication,57.0
67aaf02afd431fecde4a1d19,31,509,The repayment terms are flexible and manageable.,-0.57,de,2021-06-15T04:26:28,Repayment Terms,False,Miscommunication,48.0
67aaf02afd431fecde4a1d1a,32,409,The repayment terms were not clearly explained.,-0.8,de,2024-06-04T05:39:05,Repayment Terms,False,Delayed Approval,47.0
67aaf02afd431fecde4a1d1b,33,539,The repayment terms are flexible and manageable.,-0.68,es,2021-08-24T13:22:23,Repayment Terms,False,None,48.0
67aaf02afd431fecde4a1d1c,34,379,"There were delays in the approval process, causing inconvenience.",-0.52,es,2020-08-16T10:38:17,Approval Process,True,Miscommunication,65.0
67aaf02afd431fecde4a1d1d,35,406,I faced delays when reaching out to customer service.,-0.9,es,2020-04-05T15:59:44,Customer Service,False,Unresponsive Service,53.0
67aaf02afd431fecde4a1d1e,36,166,I faced difficulties in understanding the repayment schedule.,-0.8,es,2021-06-18T13:05:33,Repayment Terms,True,None,61.0
67aaf02afd431fecde4a1d1f,37,104,The approval process was quick and hassle-free.,-0.64,de,2023-07-02T23:31:48,Approval Process,True,High Interest,47.0
67aaf02afd431fecde4a1d20,38,943,The approval process was quick and hassle-free.,-0.77,de,2020-07-20T08:01:53,Approval Process,False,High Interest,47.0
67aaf02afd431fecde4a1d21,39,913,The approval process was quick and hassle-free.,-0.66,en,2021-05-19T12:28:58,Approval Process,True,Delayed Approval,47.0
67aaf02afd431fecde4a1d22,40,856,None,nan,None,None,None,None,None,nan
67aaf02afd431fecde4a1d23,41,783,Customer service did not address my concerns effectively.,-0.79,es,2024-11-14T14:41:19,Customer Service,True,Delayed Approval,57.0
67aaf02afd431fecde4a1d24,42,436,Customer service was helpful and responsive.,-0.6,es,2024-08-01T22:14:11,Customer Service,False,High Interest,44.0
67aaf02afd431fecde4a1d25,43,998,I expected lower interest rates for long-term loans.,-0.96,de,2022-03-21T08:20:51,Interest Rates,False,Delayed Approval,52.0
67aaf02afd431fecde4a1d26,44,781,I faced difficulties in understanding the repayment schedule.,-0.76,fr,2021-07-15T09:09:26,Repayment Terms,False,None,61.0
67aaf02afd431fecde4a1d27,45,927,Customer service did not address my concerns effectively.,-1.0,de,2022-08-10T23:57:12,Customer Service,False,Unresponsive Service,57.0
67aaf02afd431fecde4a1d28,46,544,The interest rates are too high for my liking.,-0.67,en,2022-01-03T21:29:59,Interest Rates,False,High Interest,46.0
67aaf02afd431fecde4a1d29,47,574,I faced delays when reaching out to customer service.,-0.76,de,2022-04-05T04:20:26,Customer Service,False,High Interest,53.0
67aaf02afd431fecde4a1d2a,48,103,The interest rates are competitive compared to other banks.,-0.94,en,2022-11-24T08:55:28,Interest Rates,False,None,59.0
67aaf02afd431fecde4a1d2b,49,748,Customer service did not address my concerns effectively.,-0.63,en,2022-12-31T08:06:18,Customer Service,True,Unresponsive Service,57.0
67aaf02afd431fecde4a1d2c,50,378,The repayment terms are flexible and manageable.,-0.7,es,2020-04-21T03:26:57,Repayment Terms,True,Unresponsive Service,48.0
67aaf02afd431fecde4a1d2d,51,700,The interest rates are competitive compared to other banks.,-0.61,en,2019-12-16T11:57:02,Interest Rates,True,None,59.0
67aaf02afd431fecde4a1d2e,52,548,"There were delays in the approval process, causing inconvenience.",-0.97,fr,2022-11-14T06:46:01,Approval Process,True,Delayed Approval,65.0
67aaf02afd431fecde4a1d2f,53,941,I faced difficulties in understanding the repayment schedule.,-0.77,de,2022-12-01T10:26:46,Repayment Terms,True,None,61.0
67aaf02afd431fecde4a1d30,54,279,The repayment terms were not clearly explained.,-0.92,es,2024-01-19T01:50:02,Repayment Terms,False,Unresponsive Service,47.0
67aaf02afd431fecde4a1d31,55,751,The repayment terms are flexible and manageable.,-0.81,de,2022-01-06T12:01:21,Repayment Terms,True,Delayed Approval,48.0
67aaf02afd431fecde4a1d32,56,173,The interest rates are too high for my liking.,-0.67,de,2023-04-05T16:01:10,Interest Rates,False,Unresponsive Service,46.0
67aaf02afd431fecde4a1d33,57,154,None,nan,None,None,None,None,None,nan
67aaf02afd431fecde4a1d34,58,592,Customer service was helpful and responsive.,-0.68,en,2022-11-22T02:09:43,Customer Service,True,Delayed Approval,44.0
67aaf02afd431fecde4a1d35,59,142,The approval process was quick and hassle-free.,-0.66,fr,2024-01-29T09:25:36,Approval Process,False,Unresponsive Service,47.0
67aaf02afd431fecde4a1d36,60,168,I faced delays when reaching out to customer service.,-0.6,en,2022-08-31T17:09:33,Customer Service,True,None,53.0
67aaf02afd431fecde4a1d37,61,135,I had to submit multiple documents for approval. Could be improved.,-0.95,es,2023-05-11T12:55:15,Approval Process,False,None,67.0
67aaf02afd431fecde4a1d38,62,560,Customer service was helpful and responsive.,-0.51,es,2020-06-20T05:07:54,Customer Service,False,None,44.0
67aaf02afd431fecde4a1d39,63,847,The repayment terms were not clearly explained.,-0.66,en,2021-09-19T10:03:12,Repayment Terms,True,High Interest,47.0
67aaf02afd431fecde4a1d3a,64,304,The interest rates are too high for my liking.,-0.54,fr,2023-01-24T17:30:25,Interest Rates,True,Unresponsive Service,46.0
67aaf02afd431fecde4a1d3b,65,523,I faced delays when reaching out to customer service.,-0.64,fr,2023-07-19T04:46:28,Customer Service,True,High Interest,53.0
67aaf02afd431fecde4a1d3c,66,604,I faced difficulties in understanding the repayment schedule.,-0.63,fr,2020-03-04T06:23:54,Repayment Terms,False,Miscommunication,61.0
67aaf02afd431fecde4a1d3d,67,922,I faced difficulties in understanding the repayment schedule.,-0.59,es,2024-04-21T19:15:17,Repayment Terms,True,High Interest,61.0
67aaf02afd431fecde4a1d3e,68,192,I faced delays when reaching out to customer service.,-0.88,de,2023-04-12T06:35:29,Customer Service,True,Delayed Approval,53.0
